sentence,hate,category
অসীম সৌন্দর্য বোঝা স্মার্ট বোঝা মান মানুষ রাসুলুল্লাহ সাঃ ছি মান দুনিয়া জিনিস রাসুলুল্লাহ সাঃ তুলনা জানা দুনিয়া কিছু রাসুলুল্লাহ সাঃ তুলনা,0,religion
মাগি মাগি মর যা,1,crime
রিফাত মারা,0,crime
প্রিয় ভক্ত মিজানু রহমান,0,religion
তাহা জন সিন্স শালা ফালতু,1,religion
শয়তান পাপ সভা পথ জুতা মেরে তাড়ানো,1,sports
মাগি কুকুর চুদানি কাম,1,entertainment
ক্রিকেট বোর্ড ধ্বংস পাপ,0,sports
আবুল মুহিত,0,entertainment
দূই পতিতা মা নাম্বার কারন মা পতিতা মজা টিভি খান পুত শালা,1,entertainment
আপন বন মির জাগা পাছে বাল জান,0,religion
শালা ওয়াজিব আসা শালা অস্ত্র টুপি পাঞ্জাবি খোলা সাইনবোর্ড খোলা নিলে ব্যবসায় বন্ধ,0,religion
যান বাচাল থাক দসা করতাম দূনিয়াতে থাক দিন দুনীয়া থাক দিন রাখতে হ,1,religion
সুন্দর বউ কাজ মেয়ে পরোক্ষ পতিতা ফষ্টি নষ্ট লুইচ্চা বেডা এক করলো,1,crime
ভাব চুদাই সালা,1,crime
কষ্ট রত কারন করতাছো আপন ছাড়বে দাঁত ফালায় দিমু খান পোলা মাদারচোদ বাংলাদেশ ক্রিকেট ধ্বংস করতাছে,0,sports
বেষ্ট ইমপ্লান খান কে দুধ দশ কে বান ভাইরাস চাইছে তয় খান দুধ ভিতর কাপগ জ্যা নিয়া আইছে ফহিন্নি খান ইমপ্লান কিভাবে টাকা লাগা,1,entertainment
মাগি রে ঢাকা তেন সরা খাওয়া কি তার বাচাল,1,entertainment
সাকিব ভাই আগের ছবি দেখা ছবি,0,entertainment
সত্য ভালবাসা কখনো মানুষ সময় জীবন হারানো সৃতি গুল দুই কষ্ট ভাসা জীবন নাম রেল লাইন টা,0,entertainment
ভাই তান টা দজ্জাল দালাল আরে নাস্তিক বাচ্চা নাস্তিক নাস্তিক কোরান হাদিস সম্পর্ক ভুল গুলো আরে বড় ডাকাত বাংলাদেশ জনগণে বুঝা বাকি প্রকাশ্য বড় ভন্ডামি গুলো বল কোরআন হাদিস সম্পর্ক শয়তানটা মারা বুঝ ঠেলা,1,religion
হালাক পুত পাপ মরু ফেরাউন এতো বড দোখাবাজ ছিলনা!!হঠাও পাপ বাছা ক্রিকেট,1,sports
বি বাড়িয়া বদনাম হচ্ছিলো,0,religion
দেখা বোঝা মিন্নি খুন জড়িত কিনা মিন্নির হাট ধরন দেখা বোঝা,0,crime
সারোয়ার আল সার ধন্যবাদ,0,crime
এগিয়ে যাওয়া আরো পার্থ ছি,0,religion
তারা ফাসি দেয়া,0,crime
ওবায়দুল কাদেরে জাঙ্গিয়ার দাম লাখ টাকা শালা কাউয়া দের,1,politics
আমি মিসা ট্রে দেখা একশত ভাগ ভাগ দেখা নি মান আমি খাওয়া অথিতী চরিত্র আমি খাওয়া নায়ক পাবক,0,entertainment
দেওয়ানবাগী বলদ ভক্ত গুল গাজন খাওয়া মেয়াদ,1,religion
জন্য মরা বাংঙ্গালি মরা কে ই গান শুনি দেখি গান ভিড় অারে ভাই অাপনা অাগে প্রিতম ভাই গান গুল শোনা শিখ কমেন্ট ভাই গান গুল সত্য ই মঝার অাপনি বল হয় হত ভালো গান,0,entertainment
বিচারক পাইল জুতা দিয়া পিডাইতাম বাবা মা ভদ্র শিখা,0,entertainment
বেশ্যা সম্নুখে আনা,1,crime
ভাল ছবি কাতার প্রবাস,0,entertainment
এটি প্রধান সমস্যা প্রধানমন্ত্রী নারী নারী নির্যাতন বিচার কার্যক্রম চলতেছে বাংলাদেশ সস্তা আইন প্রয়োগ পারদ কর্মকর্তা কান ঘটা পারদ,0,crime
বাল পাক বাচ্চা গীবত,1,religion
হাসি থামা পারলাম,0,religion
সুন্দর লাগা,0,entertainment
