sentence,hate,category
বলে অসীম সৌন্দর্য বোঝানো হয়েছে স্মার্ট বোঝানো হয়েছে তার মানে ওই মানুষদের যেমন রাসুলুল্লাহ সাঃ এর ও ছিলো তার মানে হলো দুনিয়ার কোনো জিনিসের সাথে রাসুলুল্লাহ সাঃ এর তুলনা করলেন আপনি কি জানেন দুনিয়ার কোনো কিছুর সাথে রাসুলুল্লাহ সাঃ এর তুলনা করা যাবে না??,0,religion
মাগির মাগি মরে যাসনা কেন,1,crime
রিফাত কে কেন মারা হল,0,crime
আমার প্রিয় ভক্তা মিজানুর রহমান।,0,religion
তাহেরি কে জনি সিন্স এর মত কাজ দিতে হবে শালা ফালতু,1,religion
শয়তান পাপ কে সভাপতির পথ থেকে জুতা মেরে তাড়ানো উচিত।,1,sports
মাগিরে কুকুর দিয়ে চুদানির কাম,1,entertainment
একটা ক্রিকেট বোর্ড ধ্বংস করার জন্য এক পাপনই যথেষ্ট।,0,sports
আবুল মুহিত,0,entertainment
দূই জন পতিতা মাগী নাম্বার এক কারন মা আগে করছে পতিতা মজা টিভি খানকি পুত শালা,1,entertainment
আমি আছিমালেশীয়া থেকে,0,entertainment
আপনে বনড মির জাগা পাছেন বাল হয়ে জান,0,religion
যে শালা ওয়াজ করতে আসবে সেই শালাদের অস্ত্র টুপি পাঞ্জাবি খুলে নিতে হবে । সাইনবোড খুলে নিলে ব্যবসা বন্ধ হবে এদের ।,0,religion
যানোয়ারের বাচছারা তোরা। আমার থাকলে তোদের এমন দসা করতাম তোরা দূনিয়াতে থাকবি যতদিন দুনীয়াতে থাকবি ততদিন মনে রাখতে হভে।,1,religion
এত সুন্দর বউ রেখে কেউ কাজের মেয়ের সাথে পরোক্ষ ভাবে পতিতার সাথে কেউ ফষ্টি নষ্টি করে।লুইচ্চা বেডা একি করলো।,1,crime
ভাব চুদাই সালাই,1,crime
কষ্টের করতো নাকি তোদের কারণে তারা করতাছো আপন কে ছাড়বে দাঁত ফালায় দিমু খানকির পোলা মাদারচোদ বাংলাদেশের ক্রিকেট ধ্বংস করতাছে,0,sports
বেষ্ট ইমপ্লান করে এই খানকি দুই কেজি দুধ দশ কেজি বানিয়ে ভাইরাল হতে চাইছে। তয় খানকি দুধের ভিতর কাপগ গুইজ্যা নিয়া আইছে ফহিন্নি খানকি ইমপ্লান করতে কিভাবে পারে। এটা করতে টাকা লাগে।,1,entertainment
এই মাগিই রে ঢাকা তেন সরান খান কিই কুতার বাচচা,1,entertainment
সাকিব ভাই আপনার আগের ছবি দেখার মতো এখন কি ছবি করেন,0,entertainment
